name,batch,isl,osl,before_ms,candidate_ms,throughput_gain_pct,before_output_tok_s,candidate_output_tok_s,before_ttft_ms,candidate_ttft_ms,pair_a_gain_pct,pair_b_gain_pct,before_tpot_ms,candidate_tpot_ms,tpot_reduction_pct,before_unique_outputs,candidate_unique_outputs,different_tokens_first_pair,total_tokens_first_pair
decode-b1-s128,1,128,64,414.7487576119602,411.19500529021025,0.8642498756135764,154.31028743400972,155.6439139012171,30.894160270690918,30.329227447509766,0.6474562134223483,0.9686805488954731,6.086189565914017,6.0406134109057135,0.7488454724373872,1,1,0,64
decode-b8-s128,8,128,64,690.0258390232921,679.1162840090692,1.6064340189017035,742.0011991503368,753.9209588341465,92.8981751203537,93.77697110176086,1.3666470378402629,1.917239333698495,9.468200476100993,9.284050861698766,1.9449272844089482,1,1,0,512
decode-b32-s128,32,128,64,992.1472147107124,974.1958184167743,1.8426887032950034,2064.209796322565,2102.2467570517097,150.63953399658203,152.04783156514168,1.8521527906295132,1.820854323814669,13.348360132012102,13.040673032048202,2.30505542943813,1,1,0,2048
decode-b64-s128,64,128,64,1127.9253852553666,1049.3614478036761,7.4868328368767,3631.4458859994984,3903.3261690459167,193.82269866764545,195.2982973307371,7.357750192077095,8.068774574504477,14.822134371137334,13.538465125574952,8.660488519534882,1,6,217,4096
decode-b128-s128,128,128,64,1529.7772414050996,1410.1620400324464,8.482372803759564,5355.028025175517,5809.261466016707,335.56588366627693,335.48819925636053,8.426028055721702,8.477686021561714,18.790817166720647,16.897204957555033,10.077327624257249,1,6,183,8192
decode-b256-s128,256,128,64,2130.340982694179,2009.9808550439775,5.988123088245434,7690.787593674156,8151.321421238873,495.1882460154593,495.77263090759516,6.234057689284844,5.577538226210921,25.30211087119708,23.508602672466495,7.088373803516301,1,6,938,16384
decode-b1-s2048,1,2048,64,485.4462589137256,481.96711763739586,0.7218627887696005,131.83745641219207,132.78914195169202,76.51841640472412,76.4167308807373,0.8951982225741562,0.38200318540739797,6.482369325581997,6.428688971532716,0.8280977425559111,1,1,0,64
decode-b32-s2048,32,2048,64,2055.0338090397418,2037.0428855530918,0.8831882536319391,996.5772781893897,1005.3789316487233,738.1618432700634,743.6908558011055,0.8975013013868383,0.8570993997996323,20.203329807993704,19.829251273352256,1.8515687176152484,1,1,0,2048
decode-b128-s2048,128,2048,64,5819.81704570353,5691.363430581987,2.2569919613868006,1407.6043861288956,1439.3739039719526,2395.6334590911865,2387.8392623737454,2.348816165880696,2.1701690540623986,49.66162238928345,48.035424742429605,3.274556022569186,1,6,172,8192
prefill-b1-s1024,1,1024,1,84.79186333715916,84.80378100648522,-0.014053228741250923,11.793584438918213,11.791927059520221,83.91046524047852,84.01632308959961,-0.19445160031918984,-0.36861616078107673,,,,1,1,0,1
prefill-b8-s1024,8,1024,1,151.8366988748312,153.25028682127595,-0.9224047639749711,52.68818447241741,52.20218614879192,150.77237784862518,152.07740664482117,-1.5590724520821886,0.4373781363274487,,,,1,1,0,8
prefill-b1-s4096,1,4096,1,82.78470952063799,82.42150442674756,0.44066787717182976,12.079525383255744,12.132755971334568,82.41105079650879,82.09359645843506,-1.8599654265759713,-0.08913379393109544,,,,1,1,0,1
prefill-b8-s4096,8,4096,1,535.0976674817502,532.2516574524343,0.5347113511939172,14.950541716336007,15.030483959958238,458.52696895599365,455.64205944538116,0.9668558994923027,0.28259971772857106,,,,1,1,0,8
