topology,speedup,source_start_s,source_end_s,requests,errors,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
standalone,1.0,300,400,536,0,1330.474064,2487.2192465,3259.344589299996,34.00345570588235,406.0809989999997,467.4625422999997,2652.9800594999997,23774.208382999997,34122.53367799994
standalone,1.0,400,500,573,0,1522.124327,2508.3527498,3149.35991844,71.66906605263156,207.8047625,460.09541618,4339.103849,56700.617533599994,83234.34815703976
standalone,1.0,500,600,575,0,1490.646105,2590.8683110999937,3239.34125098,95.58123602777778,274.22193839999903,477.8386711199999,4641.717176,67714.14488049997,117961.49749107994
standalone,1.0,600,700,719,0,1614.158252,2730.3992414,3133.94590766,100.98577497619047,266.38823065244577,494.762365665,5290.971716999999,62379.1195671,91217.43896406025
standalone,1.0,700,800,591,0,1646.908532,2710.8120959999997,3275.0235337,99.07126316767372,405.7014864,477.43641248,5071.7685,68816.4327065,91171.73970330003
standalone,1.0,800,900,649,0,1598.3734519999998,3033.2333192000015,3958.2430120399904,65.00200493849454,266.5765173841095,468.226309915,4609.437875,48540.85666240001,64666.16347483994
pd,1.0,300,400,536,0,1750.096188,2953.49712325,4081.6996270499976,17.816384,22.027796755999997,30.994617379616688,2572.89394,12563.03638525,15937.039096349985
pd,1.0,400,500,573,0,2574.75135,13366.937427399998,17039.620962759996,19.727362180505413,24.74907207858432,38.24459674399901,7522.0261,22882.053505999997,29557.684675999997
pd,1.0,500,600,575,0,2139.423289,5555.9047357,6505.133206619999,17.98017870833333,21.443048534219724,24.08061225614035,3936.676774,15640.824453799989,23345.65567261999
pd,1.0,600,700,719,0,2327.838731,3795.9523173000002,4703.8255132400145,19.326978406174334,22.149780044912788,24.544827949046056,3276.508464,14155.1773886,21528.12772244001
pd,1.0,700,800,591,0,2266.89324,3850.1847135,4442.5644024,17.939039476190477,21.96157953617555,24.59651773777779,3481.7238319999997,13592.438807999999,19013.777461100035
pd,1.0,800,900,649,0,2199.716664,4138.357965600001,5343.289176479999,16.362562906249998,21.923083795632234,23.525531082500013,3636.588831,13320.568820600001,17642.417865239997
standalone,1.2,300,400,536,0,1439.5890175,2539.32996,3978.48998335,85.49713847560975,331.96923539999983,467.8857907,4061.6648505,54919.58522075,85377.33657709984
standalone,1.2,400,500,573,0,1677.303903,3014.7643955999997,3531.119587319996,138.1314782535211,400.3089801,558.98891562,7076.1388719999995,89088.799539,140709.29721463984
standalone,1.2,500,600,575,0,1602.3544419999998,3249.3706693,4273.479272079999,149.700360628169,354.78869299999997,508.11689739999997,5703.639507,107551.69466949998,192795.39619233992
standalone,1.2,600,700,719,1,2332.8913155,5087.224160149998,5784.6216438599995,177.1506791750663,352.76300449999997,508.99452706,8454.143898499999,113053.6066914,176146.1591952604
standalone,1.2,700,800,591,0,2466.1768159999997,4536.218757,4969.198644600004,200.60421023679058,351.98035419999997,515.61103252,9584.785958,110496.2582665,139097.86179180007
standalone,1.2,800,900,649,0,7493.127146999999,13360.6298974,14248.164952199997,158.33891381818182,270.86529884583337,366.2487768800006,15251.935082,87063.62547500001,100062.77415283995
pd,1.2,300,400,536,0,1962.6625804999999,3187.6608939999996,4397.420369899999,20.343224879732738,23.82870948604651,26.198609274285708,2756.0206135,13931.572386749998,18008.901487299987
pd,1.2,400,500,573,0,2403.557687,5108.008548599997,5987.05556388,21.180757028301887,25.19588954581471,26.245126440952376,4369.845934,16981.777844999997,23688.44356307997
pd,1.2,500,600,575,0,2150.963373,4515.4595798,5161.856130099998,20.068391238095238,22.88266851266116,25.210137056764637,3514.517726,15672.522235599998,25767.134435599986
pd,1.2,600,700,719,0,3588.969631,5272.761214699999,5774.62651494,21.72468249159664,24.3640640932611,26.419683825,4784.365988,16691.8746942,23520.90246242001
pd,1.2,700,800,591,0,2975.549921,5163.315482,6098.1081773000005,19.9545298317757,23.36467546462306,24.271809078476192,4597.841171,15777.121072,22056.45436350004
pd,1.2,800,900,649,0,3251.742496,6035.2768418,6884.742694639999,18.28221474758454,24.434480850309694,25.405317558657146,5086.193802,16177.7009204,21371.862555039996
